"","x","y","acaldi","acalma","alsebl","apeime","ast2gr","beilpe","brosal","calolo","caseac","chr1ec","chr2ar","cordla","cupasy","des2pa","faraoc","gar2in","guapst","guargu","guarsp","guatdu","hassfl","heisco","herrpu","hirttr","hybapr","ingago","ingama","ingaqu","ingaum","loncla","malmsp","maquco","mourmy","ocotce","oenoma","olmeas","ormoma","pentma","picrla","pipeae","pipeco","pipecu","pipepe","pipere","poular","pourbi","pri2co","protco","protpa","protte","quaras","randar","simaam","sipacr","socrex","solast","soroaf","swars2","sympgl","tab1gu","tab1ro","tab2ar","tachve","termam","tet2pa","thevah","tri2tu","unonpi","virose","virosu","xyl1ma","alchco","cassel","chr2ca","coccma","cou2cu","dendar","drypst","ery1co","eugega","eugene","eugeoe","hampap","ingapu","laciag","laetth","maytsc","micoaf","nectci","ouralu","psycho","stylst","swars1","talipr","tratas","zantbe","apeiti","ardigu","aspicr","cecrin","coccco","cordbi","dio2ar","guargr","ingath","micoar","micoel","micone","nectpu","perexa","poutre","poutst","pterro","sipapa","tri2pa","zantp1","ade1tr","alibed","annosp","ast1st","bactc1","cappfr","ceibpe","gar2ma","guetfo","ocotob","ocotpu","paligu","pse1se","sloate","andiin","casesy","eugeco","ingasa","psycma","quasam","annoac","cordal","crotbi","cupala","cuparu","gustsu","ingas1","jac1co","lacmpa","pla1pi","pla2el","turpoc","hyeral","schipa","sterap","tremmi","celtsc","heisac","ormocr","zantpr","caseco","licahy","rinosy","anaxpa","cestme","licapl","lozapi","ocotwh","psycch","sapiau","virosp","solaha","sponmo","theoca","casear","clidde","entesc","ery2ma","guazul","luehse","ochrpy","sponra","ery2pa","myrcga","geniam","sennda","tropra","taline","hameax","ingafa","cha2sc","vismba","phoeci","anacex","tripcu","allops","bactma","cecrob","ingaco","micoho","psycde","psycg1","chimpa","psycac","sch1zo","lafopu","diptpa","ingasp","neeaam","conoci","psycli","tremin","couthe","cyphha","laetpr","huracr","lindla","vochfe","nectgl","ardife","pit1ma","posola","elaeol","solaas","ficuob","urerba","cupaci","bactba","pipea1","aegipa","xyl2ol","acacme","malpro","psidfr","ingami","micopr","myrofr","psycra","ficupo","psycg3","zuelgu","ficuci","termob","hirtam","ficuc2","psycfu","ficuin","casegu","cecrlo","ingaru","maclti","tri4ga","cha1te","brosgu","ficuto","colugl","tocopi","aphesi","tri1gi","ficutr","spacme","cedrod","pipeim","amaico","poutfo","pipelo","cavapl","leandi","ficuma","clidse","cestra","macrgl","ficuyo","clidoc","margno","pochse","tet4jo","ormoam","ingape","vismbi","nects1","mar1la","randfo","ficupe","pipeca","stemgr","micoim","psycpi","bactc2","rauvli","jac2sp","appuse","protsp","sapisp","cespma","pit1ru","conobr","oreoca","ardiba","pterof","verbgi","pochqu","micodo"
"1",12.5,12.5,14,1,1,1,1,6,4,6,1,1,1,1,2,7,9,2,1,3,3,1,3,1,2,5,21,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,3,6,2,1,1,5,1,1,2,1,4,1,4,2,2,1,4,1,2,1,7,1,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",12.5,37.5,4,2,9,0,0,6,1,3,1,2,0,5,3,30,34,6,0,6,4,3,0,0,0,3,16,0,0,1,0,4,1,1,10,0,4,2,0,1,0,5,0,0,1,0,4,4,5,2,6,3,1,0,2,2,1,1,3,4,0,0,1,1,1,0,6,1,2,4,3,0,0,1,1,1,4,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",12.5,262.5,1,0,25,0,0,6,1,13,0,0,0,4,1,19,21,13,0,3,3,1,1,1,3,4,67,1,1,0,0,0,0,1,10,0,1,0,0,0,2,0,0,0,0,2,0,3,1,0,9,4,3,4,3,0,0,0,4,5,0,1,0,6,1,0,19,0,13,0,2,0,0,0,0,0,0,0,0,0,1,1,7,4,0,0,4,4,0,1,3,2,0,0,0,0,0,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",12.5,287.5,0,0,15,0,0,1,0,6,0,0,1,3,1,18,25,10,0,0,0,1,0,1,0,1,22,0,1,0,1,0,1,3,7,3,7,0,3,0,1,0,0,0,0,0,1,1,2,0,9,4,0,1,4,0,0,0,3,10,1,2,0,3,1,0,8,0,1,0,1,0,0,0,4,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,1,0,2,0,0,0,0,1,0,0,2,0,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",12.5,312.5,1,0,2,0,0,2,2,6,1,0,2,1,2,12,36,9,1,0,1,1,0,2,0,2,18,0,0,0,0,1,1,1,4,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,8,8,2,1,0,0,0,0,7,9,0,0,0,2,3,0,12,0,0,1,2,0,0,0,1,0,3,6,0,0,0,3,1,1,0,0,1,0,0,0,1,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,4,2,1,3,2,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",12.5,337.5,2,0,19,1,0,3,0,4,1,0,2,1,1,9,23,8,0,1,0,1,2,0,1,1,13,1,1,0,0,0,0,1,9,0,7,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,2,0,0,0,1,3,0,0,0,2,3,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,5,1,1,0,0,2,1,0,2,0,1,1,0,0,0,0,2,1,0,0,2,0,3,0,1,1,1,0,2,0,0,0,0,3,2,1,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",12.5,362.5,2,0,9,0,0,1,1,4,0,1,8,5,0,9,34,2,0,3,0,0,0,2,0,0,21,0,2,0,1,0,0,2,12,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,5,4,0,1,0,0,0,0,0,10,0,0,0,3,12,0,8,0,2,0,3,0,0,1,1,0,0,2,0,0,0,2,1,4,0,0,0,0,0,0,1,1,3,2,2,1,0,2,0,0,0,0,1,6,0,0,2,5,0,2,0,0,1,0,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",12.5,387.5,0,0,12,0,0,3,1,4,1,0,1,1,3,9,37,3,0,1,1,0,1,2,2,1,9,0,0,0,0,1,0,1,20,1,7,0,0,0,1,0,1,0,0,0,1,0,2,1,6,4,1,2,0,0,0,0,3,7,0,0,0,2,6,0,8,0,2,1,2,0,0,0,9,0,0,1,0,0,0,3,0,0,0,0,1,1,0,3,5,0,1,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",12.5,412.5,0,0,15,0,0,1,2,2,0,2,2,0,3,8,51,5,0,0,0,0,1,0,3,3,12,1,0,0,0,0,1,1,10,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,14,10,1,0,0,0,1,0,4,11,0,0,0,0,6,0,13,0,1,0,3,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,2,0,4,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",12.5,437.5,0,0,3,1,0,2,2,3,0,1,1,0,0,8,12,3,0,0,1,1,0,1,3,4,11,0,0,0,1,3,0,2,12,3,2,0,1,0,1,0,0,0,0,0,2,1,0,2,6,3,4,1,2,0,11,0,1,8,1,0,0,2,4,0,16,0,1,1,1,0,0,0,5,0,0,1,0,0,0,4,0,2,0,0,1,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
