Species,Genus,Family,Order,Class,Fylum,count
finmarchicus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,90863
helgolandicus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,60870
glacialis,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,3128
hyperboreus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,2440
pacificus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,3185
marshallae,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,1962
simillimus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,2046
propinquus,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,127
NA,Calanus,Calanidae,Calanoida,Copepoda,Arthropoda,339248
plumchrus,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,12680
gracilis,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,3603
cristatus,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,2730
robustior,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,33
tonsus,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,373
flemingeri,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,28
NA,Neocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,971
minor,Nannocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,7407
carinatus,Calanoides,Calanidae,Calanoida,Copepoda,Arthropoda,1775
acutus,Calanoides,Calanidae,Calanoida,Copepoda,Arthropoda,272
tenuicornis,Mesocalanus,Calanidae,Calanoida,Copepoda,Arthropoda,1215
vulgaris,Undinula,Calanidae,Calanoida,Copepoda,Arthropoda,587
lucens,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,46236
longa,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,3930
pacifica,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,3040
okhotensis,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,25
gerlachei,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,12
NA,Metridia,Metridinidae,Calanoida,Copepoda,Arthropoda,14950
robusta,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,9896
borealis,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,8427
gracilis,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,7126
abdominalis,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,4642
piseki,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,2664
xiphias,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,1098
NA,Pleuromamma,Metridinidae,Calanoida,Copepoda,Arthropoda,5173
longiremis,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,1887
danae,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,287
negligens,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,40
tonsa,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,28
tumida,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,25
NA,Acartia,Acartiidae,Calanoida,Copepoda,Arthropoda,66698
typicus,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,51952
hamatus,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,11078
chierchiae,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,1117
bradyi,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,974
violaceus,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,285
abdominalis,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,663
furcatus,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,66
brachiatus,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,2
NA,Centropages,Centropagidae,Calanoida,Copepoda,Arthropoda,3082
clavipes,Isias,Centropagidae,Calanoida,Copepoda,Arthropoda,1085
NA,Pseudocalanus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,36040
NA,Clausocalanus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,19799
vanus,Ctenocalanus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,306
NA,Ctenocalanus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,229
NA,Microcalanus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,96
forcipatus,Drepanopus,Clausocalanidae,Calanoida,Copepoda,Arthropoda,52
longicornis,Temora,Temoridae,Calanoida,Copepoda,Arthropoda,45649
stylifera,Temora,Temoridae,Calanoida,Copepoda,Arthropoda,1159
turbinata,Temora,Temoridae,Calanoida,Copepoda,Arthropoda,41
discaudata,Temora,Temoridae,Calanoida,Copepoda,Arthropoda,4
pacifica,Eurytemora,Temoridae,Calanoida,Copepoda,Arthropoda,8
NA,Eurytemora,Temoridae,Calanoida,Copepoda,Arthropoda,10
norvegica,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,16060
hebes,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,4702
gracilis,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,107
elongata,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,330
tonsa,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,18
glacialis,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,5
antarctica,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,117
NA,Paraeuchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,26
acuta,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,2752
marina,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,1020
media,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,108
paraconcinna,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,31
pubera,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,14
spinosa,Euchaeta,Euchaetidae,Calanoida,Copepoda,Arthropoda,4
NA,NA,Euchaetidae,Calanoida,Copepoda,Arthropoda,6814
