"","x","y","area","peri","land_perc"
"1",-2155000,7426291.28571429,13267.5685714287,474.834857142858,NA
"2",-2065000,7426291.28571429,13267.5685714286,474.834857142858,NA
"3",-1975000,7426291.28571429,13267.5685714287,474.834857142858,NA
"4",-1885000,7426291.28571429,13267.5685714286,474.834857142858,NA
"5",-1795000,7426291.28571429,13267.5685714286,474.834857142858,NA
"6",-1705000,7426291.28571429,13267.5685714286,474.834857142858,NA
"7",-1615000,7426291.28571429,13267.5685714286,474.834857142858,NA
"8",-1525000,7426291.28571429,13267.5685714286,474.834857142858,NA
"9",-1435000,7426291.28571429,13267.5685714286,474.834857142858,NA
"10",-1345000,7426291.28571429,13267.5685714286,474.834857142858,0.204542529807567
"11",-1255000,7426291.28571429,13267.5685714286,474.834857142858,0.155535200839552
"12",-1165000,7426291.28571429,13267.5685714286,474.834857142858,NA
"13",-1075000,7426291.28571429,13267.5685714286,474.834857142858,NA
"14",-985000,7426291.28571429,13267.5685714286,474.834857142858,NA
"15",-895000,7426291.28571429,13267.5685714286,474.834857142858,NA
"16",-805000,7426291.28571429,13267.5685714286,474.834857142858,NA
"17",-715000,7426291.28571429,13267.5685714286,474.834857142858,NA
"18",-625000,7426291.28571429,13267.5685714286,474.834857142858,NA
"19",-535000,7426291.28571429,13267.5685714286,474.834857142858,NA
"20",-445000,7426291.28571429,13267.5685714286,474.834857142858,NA
"21",-355000,7426291.28571429,13267.5685714286,474.834857142858,NA
"22",-265000,7426291.28571429,13267.5685714286,474.834857142858,NA
"23",-175000,7426291.28571429,13267.5685714286,474.834857142858,NA
"24",-85000,7426291.28571429,13267.5685714286,474.834857142858,NA
"25",5000,7426291.28571429,13267.5685714286,474.834857142858,NA
"26",95000,7426291.28571429,13267.5685714286,474.834857142858,NA
"27",185000,7426291.28571429,13267.5685714286,474.834857142858,NA
"28",275000,7426291.28571429,13267.5685714286,474.834857142858,NA
"29",365000,7426291.28571429,13267.5685714286,474.834857142858,NA
"30",455000,7426291.28571429,13267.5685714286,474.834857142858,NA
"31",545000,7426291.28571429,13267.5685714286,474.834857142858,NA
"32",635000,7426291.28571429,13267.5685714286,474.834857142858,NA
"33",725000,7426291.28571429,13267.5685714286,474.834857142858,0.00997583609848848
"34",815000,7426291.28571429,13267.5685714286,474.834857142858,NA
"35",905000,7426291.28571429,13267.5685714286,474.834857142858,NA
"36",995000,7426291.28571429,13267.5685714286,474.834857142858,0.0930387147038669
"37",1085000,7426291.28571429,13267.5685714286,474.834857142858,NA
"38",1175000,7426291.28571429,13267.5685714286,474.834857142858,NA
"39",1265000,7426291.28571429,13267.5685714286,474.834857142858,NA
"40",1355000,7426291.28571429,13267.5685714286,474.834857142858,0.0677823628868036
"41",1445000,7426291.28571429,13267.5685714286,474.834857142858,0.720782479017599
"42",1535000,7426291.28571429,13267.5685714286,474.834857142858,1
"43",1625000,7426291.28571429,13267.5685714286,474.834857142858,0.699709464522059
"44",1715000,7426291.28571429,13267.5685714286,474.834857142858,0.00185770508602293
"45",1805000,7426291.28571429,13267.5685714286,474.834857142858,6.67308276813409e-05
"46",-2155000,7278873.85714286,13267.5685714287,474.834857142858,NA
"47",-2065000,7278873.85714286,13267.5685714286,474.834857142858,NA
"48",-1975000,7278873.85714286,13267.5685714287,474.834857142858,NA
"49",-1885000,7278873.85714286,13267.5685714286,474.834857142858,NA
"50",-1795000,7278873.85714286,13267.5685714286,474.834857142858,NA
"51",-1705000,7278873.85714286,13267.5685714286,474.834857142858,NA
"52",-1615000,7278873.85714286,13267.5685714286,474.834857142858,NA
"53",-1525000,7278873.85714286,13267.5685714286,474.834857142858,NA
"54",-1435000,7278873.85714286,13267.5685714286,474.834857142858,NA
"55",-1345000,7278873.85714286,13267.5685714286,474.834857142858,NA
"56",-1255000,7278873.85714286,13267.5685714286,474.834857142858,NA
"57",-1165000,7278873.85714286,13267.5685714286,474.834857142858,NA
"58",-1075000,7278873.85714286,13267.5685714286,474.834857142858,NA
"59",-985000,7278873.85714286,13267.5685714286,474.834857142858,NA
"60",-895000,7278873.85714286,13267.5685714286,474.834857142858,NA
"61",-805000,7278873.85714286,13267.5685714286,474.834857142858,NA
"62",-715000,7278873.85714286,13267.5685714286,474.834857142858,NA
"63",-625000,7278873.85714286,13267.5685714286,474.834857142858,NA
"64",-535000,7278873.85714286,13267.5685714286,474.834857142858,NA
"65",-445000,7278873.85714286,13267.5685714286,474.834857142858,NA
"66",-355000,7278873.85714286,13267.5685714286,474.834857142858,NA
"67",-265000,7278873.85714286,13267.5685714286,474.834857142858,NA
"68",-175000,7278873.85714286,13267.5685714286,474.834857142858,NA
"69",-85000,7278873.85714286,13267.5685714286,474.834857142858,NA
"70",5000,7278873.85714286,13267.5685714286,474.834857142858,NA
"71",95000,7278873.85714286,13267.5685714286,474.834857142858,NA
"72",185000,7278873.85714286,13267.5685714286,474.834857142858,NA
"73",275000,7278873.85714286,13267.5685714286,474.834857142858,NA
"74",365000,7278873.85714286,13267.5685714286,474.834857142858,NA
"75",455000,7278873.85714286,13267.5685714286,474.834857142858,NA
"76",545000,7278873.85714286,13267.5685714286,474.834857142858,NA
"77",635000,7278873.85714286,13267.5685714286,474.834857142858,NA
"78",725000,7278873.85714286,13267.5685714286,474.834857142858,NA
"79",815000,7278873.85714286,13267.5685714286,474.834857142858,NA
"80",905000,7278873.85714286,13267.5685714286,474.834857142858,0.0089353273429102
"81",995000,7278873.85714286,13267.5685714286,474.834857142858,0.0536524367698638
"82",1085000,7278873.85714286,13267.5685714286,474.834857142858,NA
"83",1175000,7278873.85714286,13267.5685714286,474.834857142858,NA
"84",1265000,7278873.85714286,13267.5685714286,474.834857142858,NA
"85",1355000,7278873.85714286,13267.5685714286,474.834857142858,NA
"86",1445000,7278873.85714286,13267.5685714286,474.834857142858,0.0612454426392655
"87",1535000,7278873.85714286,13267.5685714286,474.834857142858,0.238361208841395
"88",1625000,7278873.85714286,13267.5685714286,474.834857142858,0.0453279762580003
"89",1715000,7278873.85714286,13267.5685714286,474.834857142858,0.509330307634476
"90",1805000,7278873.85714286,13267.5685714286,474.834857142858,0.32699955298012
"91",-2155000,7131456.42857143,13267.5685714287,474.834857142858,NA
"92",-2065000,7131456.42857143,13267.5685714286,474.834857142858,NA
"93",-1975000,7131456.42857143,13267.5685714287,474.834857142858,NA
"94",-1885000,7131456.42857143,13267.5685714286,474.834857142858,NA
"95",-1795000,7131456.42857143,13267.5685714286,474.834857142858,NA
"96",-1705000,7131456.42857143,13267.5685714286,474.834857142858,NA
"97",-1615000,7131456.42857143,13267.5685714286,474.834857142858,NA
"98",-1525000,7131456.42857143,13267.5685714286,474.834857142858,NA
"99",-1435000,7131456.42857143,13267.5685714286,474.834857142858,NA
"100",-1345000,7131456.42857143,13267.5685714286,474.834857142858,NA
"101",-1255000,7131456.42857143,13267.5685714286,474.834857142858,NA
"102",-1165000,7131456.42857143,13267.5685714286,474.834857142858,NA
"103",-1075000,7131456.42857143,13267.5685714286,474.834857142858,NA
"104",-985000,7131456.42857143,13267.5685714286,474.834857142858,NA
"105",-895000,7131456.42857143,13267.5685714286,474.834857142858,NA
"106",-805000,7131456.42857143,13267.5685714286,474.834857142858,NA
"107",-715000,7131456.42857143,13267.5685714286,474.834857142858,NA
"108",-625000,7131456.42857143,13267.5685714286,474.834857142858,NA
"109",-535000,7131456.42857143,13267.5685714286,474.834857142858,NA
"110",-445000,7131456.42857143,13267.5685714286,474.834857142858,NA
"111",-355000,7131456.42857143,13267.5685714286,474.834857142858,NA
"112",-265000,7131456.42857143,13267.5685714286,474.834857142858,NA
"113",-175000,7131456.42857143,13267.5685714286,474.834857142858,NA
"114",-85000,7131456.42857143,13267.5685714286,474.834857142858,NA
"115",5000,7131456.42857143,13267.5685714286,474.834857142858,NA
"116",95000,7131456.42857143,13267.5685714286,474.834857142858,NA
"117",185000,7131456.42857143,13267.5685714286,474.834857142858,NA
"118",275000,7131456.42857143,13267.5685714286,474.834857142858,NA
"119",365000,7131456.42857143,13267.5685714286,474.834857142858,NA
"120",455000,7131456.42857143,13267.5685714286,474.834857142858,NA
"121",545000,7131456.42857143,13267.5685714286,474.834857142858,NA
"122",635000,7131456.42857143,13267.5685714286,474.834857142858,NA
"123",725000,7131456.42857143,13267.5685714286,474.834857142858,0.0408799635326543
"124",815000,7131456.42857143,13267.5685714286,474.834857142858,0.173417383582869
"125",905000,7131456.42857143,13267.5685714286,474.834857142858,0.773211364028367
"126",995000,7131456.42857143,13267.5685714286,474.834857142858,0.364802688900202
"127",1085000,7131456.42857143,13267.5685714286,474.834857142858,0.121929468385174
"128",1175000,7131456.42857143,13267.5685714286,474.834857142858,NA
"129",1265000,7131456.42857143,13267.5685714286,474.834857142858,NA
"130",1355000,7131456.42857143,13267.5685714286,474.834857142858,NA
"131",1445000,7131456.42857143,13267.5685714286,474.834857142858,NA
"132",1535000,7131456.42857143,13267.5685714286,474.834857142858,NA
"133",1625000,7131456.42857143,13267.5685714286,474.834857142858,NA
"134",1715000,7131456.42857143,13267.5685714286,474.834857142858,0.629231807874052
"135",1805000,7131456.42857143,13267.5685714286,474.834857142858,0.693211464526535
"136",-2155000,6984039,13267.5685714287,474.834857142858,NA
