"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"1",-2155000,7426291.28571429,0,277.168917239186,2.59873895591128,15.9933422858765,0.06,1,0,1,0,0,0,0,0,0
"2",-2065000,7426291.28571429,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"3",-1975000,7426291.28571429,0,278.459416572426,1.70707945881125,1.8364339290093,0.02,1,0,1,1,0,0,0,0,1
"4",-1885000,7426291.28571429,0,278.474981693177,1.69276029332416,1.84084696143655,0.02,1,0,1,0,1,0,0,1,1
"5",-1795000,7426291.28571429,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"6",-1705000,7426291.28571429,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"7",-1615000,7426291.28571429,0,278.24378577088,1.78891503639508,2.87583591563761,0.04,1,0,1,1,0,0,0,1,1
"8",-1525000,7426291.28571429,0,278.214998340521,2.20014325406698,4.08241125718404,0.16,1,0,1,1,1,0,0,1,1
"9",-1435000,7426291.28571429,0,277.023656065327,2.83516372669199,26.3446242503511,0.12,1,0,1,1,1,0,0,1,1
"10",-1345000,7426291.28571429,0.204542529807567,275.839828370529,3.65139508290155,26.3855021996753,0.12,1,0,1,1,1,0,0,1,1
"11",-1255000,7426291.28571429,0.155535200839552,276.639647392296,3.00187819347571,33.2338817312573,0.18,1,0,1,1,1,0,0,1,1
"12",-1165000,7426291.28571429,0,279.013406010931,2.19793141642421,21.2511126644981,0.12,1,0,1,1,1,0,0,1,1
"13",-1075000,7426291.28571429,0,279.609312865492,1.80751381313825,4.02046215513903,0.24,1,0,1,1,1,0,0,1,1
"14",-985000,7426291.28571429,0,279.792968618429,1.72824404717391,2.41623092182389,0.18,1,0,1,1,1,0,0,1,1
"15",-895000,7426291.28571429,0,280.08801280404,1.695909575745,2.85082009479076,0.2,1,0,1,1,1,0,0,1,1
"16",-805000,7426291.28571429,0,280.484119648854,1.6971213069712,2.97425518753093,0.24,1,0,1,1,1,0,0,1,1
"17",-715000,7426291.28571429,0,280.884122806351,1.70070306820428,4.10849116747146,0.32,1,0,1,1,1,0,0,1,1
"18",-625000,7426291.28571429,0,281.24977585042,1.69791696348565,3.80319055928075,0.22,1,0,1,1,1,0,0,1,1
"19",-535000,7426291.28571429,0,281.618711860126,1.62951522274643,9.34139061167144,0.36,1,0,1,1,1,0,0,1,1
