"","Seq","AOU","Order","Family","Genus","Species"
"1","6","01770","Anseriformes","Anatidae","Dendrocygna","autumnalis"
"2","7","01780","Anseriformes","Anatidae","Dendrocygna","bicolor"
"3","8","01760","Anseriformes","Anatidae","Anser","canagicus"
"4","9","01690","Anseriformes","Anatidae","Anser","caerulescens"
"5","10","01691","Anseriformes","Anatidae","Anser","caerulescens(blueform)"
"6","11","01700","Anseriformes","Anatidae","Anser","rossii"
"7","13","01710","Anseriformes","Anatidae","Anser","albifrons"
"8","18","01730","Anseriformes","Anatidae","Branta","bernicla"
"9","19","01740","Anseriformes","Anatidae","Branta","berniclanigricans"
"10","21","01725","Anseriformes","Anatidae","Branta","hutchinsii"
"11","22","01720","Anseriformes","Anatidae","Branta","canadensis"
"12","23","01782","Anseriformes","Anatidae","Cygnus","olor"
"13","24","01810","Anseriformes","Anatidae","Cygnus","buccinator"
"14","25","01800","Anseriformes","Anatidae","Cygnus","columbianus"
"15","27","20630","Anseriformes","Anatidae","Alopochen","aegyptiaca"
"16","28","10210","Anseriformes","Anatidae","Cairina","moschata"
"17","29","01440","Anseriformes","Anatidae","Aix","sponsa"
"18","32","01400","Anseriformes","Anatidae","Spatula","discors"
"19","33","01410","Anseriformes","Anatidae","Spatula","cyanoptera"
"20","34","01420","Anseriformes","Anatidae","Spatula","clypeata"
"21","35","01350","Anseriformes","Anatidae","Mareca","strepera"
"22","37","01360","Anseriformes","Anatidae","Mareca","penelope"
"23","38","01370","Anseriformes","Anatidae","Mareca","americana"
"24","40","01320","Anseriformes","Anatidae","Anas","platyrhynchos"
"25","41","01331","Anseriformes","Anatidae","Anas","diazi"
"26","42","01330","Anseriformes","Anatidae","Anas","rubripes"
"27","43","01340","Anseriformes","Anatidae","Anas","fulvigula"
"28","44","01326","Anseriformes","Anatidae","Anas","platyrhynchosxdiazixrubripesorfulvigula"
"29","46","01430","Anseriformes","Anatidae","Anas","acuta"
"30","47","01390","Anseriformes","Anatidae","Anas","crecca"
"31","48","01470","Anseriformes","Anatidae","Aythya","valisineria"
"32","49","01460","Anseriformes","Anatidae","Aythya","americana"
"33","51","01500","Anseriformes","Anatidae","Aythya","collaris"
"34","52","01491","Anseriformes","Anatidae","Aythya","fuligula"
"35","53","01480","Anseriformes","Anatidae","Aythya","marila"
"36","54","01490","Anseriformes","Anatidae","Aythya","affinis"
"37","55","01489","Anseriformes","Anatidae","Aythya","marila/affinis"
"38","56","01570","Anseriformes","Anatidae","Polysticta","stelleri"
"39","57","01580","Anseriformes","Anatidae","Somateria","fischeri"
"40","58","01620","Anseriformes","Anatidae","Somateria","spectabilis"
"41","59","01590","Anseriformes","Anatidae","Somateria","mollissima"
"42","60","01550","Anseriformes","Anatidae","Histrionicus","histrionicus"
"43","61","01660","Anseriformes","Anatidae","Melanitta","perspicillata"
"44","62","01650","Anseriformes","Anatidae","Melanitta","deglandi"
"45","65","01630","Anseriformes","Anatidae","Melanitta","americana"
"46","66","01657","Anseriformes","Anatidae","Melanitta","sp."
"47","67","01540","Anseriformes","Anatidae","Clangula","hyemalis"
"48","68","01530","Anseriformes","Anatidae","Bucephala","albeola"
"49","69","01510","Anseriformes","Anatidae","Bucephala","clangula"
"50","70","01520","Anseriformes","Anatidae","Bucephala","islandica"
"51","71","01512","Anseriformes","Anatidae","Bucephala","clangula/islandica"
"52","73","01310","Anseriformes","Anatidae","Lophodytes","cucullatus"
"53","74","01290","Anseriformes","Anatidae","Mergus","merganser"
"54","75","01300","Anseriformes","Anatidae","Mergus","serrator"
"55","77","01670","Anseriformes","Anatidae","Oxyura","jamaicensis"
"56","78","03110","Galliformes","Cracidae","Ortalis","vetula"
"57","86","02920","Galliformes","Odontophoridae","Oreortyx","pictus"
"58","91","02890","Galliformes","Odontophoridae","Colinus","virginianus"
"59","93","02930","Galliformes","Odontophoridae","Callipepla","squamata"
"60","95","02940","Galliformes","Odontophoridae","Callipepla","californica"
"61","96","02950","Galliformes","Odontophoridae","Callipepla","gambelii"
"62","97","02960","Galliformes","Odontophoridae","Cyrtonyx","montezumae"
"63","101","03100","Galliformes","Phasianidae","Meleagris","gallopavo"
"64","103","03000","Galliformes","Phasianidae","Bonasa","umbellus"
"65","104","02980","Galliformes","Phasianidae","Falcipennis","canadensis"
"66","105","03010","Galliformes","Phasianidae","Lagopus","lagopus"
"67","106","03020","Galliformes","Phasianidae","Lagopus","muta"
"68","107","03040","Galliformes","Phasianidae","Lagopus","leucura"
"69","108","03090","Galliformes","Phasianidae","Centrocercus","urophasianus"
"70","109","03089","Galliformes","Phasianidae","Centrocercus","minimus"
"71","110","02970","Galliformes","Phasianidae","Dendragapus","obscurus"
"72","111","02971","Galliformes","Phasianidae","Dendragapus","fuliginosus"
"73","112","02973","Galliformes","Phasianidae","Dendragapus","obscurus/fuliginosus"
"74","113","03080","Galliformes","Phasianidae","Tympanuchus","phasianellus"
"75","114","03050","Galliformes","Phasianidae","Tympanuchus","cupido"
"76","115","03070","Galliformes","Phasianidae","Tympanuchus","pallidicinctus"
"77","116","02881","Galliformes","Phasianidae","Perdix","perdix"
"78","117","03091","Galliformes","Phasianidae","Phasianus","colchicus"
"79","118","03095","Galliformes","Phasianidae","Pavo","cristatus"
"80","121","02882","Galliformes","Phasianidae","Alectoris","chukar"
"81","123","00050","Podicipediformes","Podicipedidae","Tachybaptus","dominicus"
"82","124","00060","Podicipediformes","Podicipedidae","Podilymbus","podiceps"
"83","125","00030","Podicipediformes","Podicipedidae","Podiceps","auritus"
"84","126","00020","Podicipediformes","Podicipedidae","Podiceps","grisegena"
"85","127","00040","Podicipediformes","Podicipedidae","Podiceps","nigricollis"
"86","128","00010","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis"
"87","129","00011","Podicipediformes","Podicipedidae","Aechmophorus","clarkii"
"88","130","00012","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis/clarkii"
"89","131","03131","Columbiformes","Columbidae","Columba","livia"
"90","135","03140","Columbiformes","Columbidae","Patagioenas","leucocephala"
"91","136","03130","Columbiformes","Columbidae","Patagioenas","flavirostris"
"92","137","03120","Columbiformes","Columbidae","Patagioenas","fasciata"
"93","140","03152","Columbiformes","Columbidae","Streptopelia","roseogrisea"
"94","142","22860","Columbiformes","Columbidae","Streptopelia","decaocto"
"95","143","03151","Columbiformes","Columbidae","Streptopelia","chinensis"
"96","144","03210","Columbiformes","Columbidae","Columbina","inca"
"97","145","03200","Columbiformes","Columbidae","Columbina","passerina"
"98","147","03201","Columbiformes","Columbidae","Columbina","talpacoti"
