"","x","y","land_perc","temp","prec","grad","fore","diversity","diversity_PASS","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"1",-2302033.12519051,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2",-2199627.52742533,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"3",-2097221.92966015,3062202.34687399,0.533839892345641,282.641482513283,39.5859420028449,107.761595900466,4082042.75698529,0.654867256637168,0.598425196850394,1,0,1,1,0,0,0,0,1
"4",-1994816.33189497,3062202.34687399,0.538534642643403,283.12576248552,16.5598501928232,80.2576931862634,2318846.41441808,0.783185840707965,0.716535433070866,1,0,1,1,1,0,0,1,1
"5",-1892410.73412979,3062202.34687399,0.909022083777247,280.19874682769,31.7680637306676,208.774853470024,3446126.6677199,0.774336283185841,0.771653543307087,1,0,1,1,1,0,0,1,1
"6",-1790005.13636461,3062202.34687399,0.77455606229972,279.001475768011,10.7108267373909,160.536945250783,1679587.38742512,0.964601769911504,0.834645669291339,1,0,1,1,1,0,0,1,1
"7",-1687599.53859943,3062202.34687399,0.648095525379288,280.606703636787,6.14480722220743,109.500708880255,964478.831775212,0.867256637168142,0.78740157480315,1,0,1,1,1,0,0,1,1
"8",-1585193.94083425,3062202.34687399,0.529511222069432,279.684251648399,10.976412679248,147.798316831895,1659970.67025648,0.783185840707965,0.779527559055118,1,0,1,1,1,0,0,1,1
"9",-1482788.34306906,3062202.34687399,0.418719245511257,278.502435738377,13.0491327641812,170.178682633376,1538156.66241077,0.663716814159292,0.669291338582677,1,0,1,1,1,0,0,1,1
"10",-1380382.74530388,3062202.34687399,0.31565525590233,277.191395517912,12.6621924174835,158.506237993197,1344016.00900622,0.654867256637168,0.748031496062992,1,0,1,1,1,0,0,1,1
"11",-1277977.1475387,3062202.34687399,0.220253377137214,276.813151801589,12.6149672479114,50.6942192493919,280632.118143769,0.81858407079646,0.811023622047244,1,0,1,0,1,0,0,1,1
"12",-1175571.54977352,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"13",-1073165.95200834,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"14",-970760.354243158,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"15",-868354.756477977,3062202.34687399,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
